Country,Song,Artist,F/SF,Year,Points,R/O,Place,Contest_Location,Jury_1.0,Jury_2.0,Jury_3.0,Jury_4.0,Jury_5.0,Jury_6.0,Jury_7.0,Jury_8.0,Jury_10.0,Jury_12.0
Ireland,The Voice,Eimear Quinn,Final,1996,162.0,17,1,Oslo ,Cyprus,Estonia,United Kingdom,Switzerland,Netherlands,Croatia,Norway,Austria,Iceland,Sweden
Malta,In A Woman's Heart,Miriam Christine,Final,1996,68.0,6,10,Oslo ,Greece,Cyprus,Bosnia & Herzegovina,Ireland,Spain,United Kingdom,Croatia,Slovakia,Turkey,Austria
Netherlands,De Eerste Keer,Maxine & Franklin Brown,Final,1996,78.0,15,7,Oslo ,Greece,Belgium,Estonia,Switzerland,Croatia,Portugal,Turkey,Sweden,Norway,Ireland
Norway,I Evighet,Elisabeth Andreasson,Final,1996,114.0,12,2,Oslo ,Malta,Finland,Greece,France,Iceland,Sweden,Croatia,Estonia,Ireland,Portugal
Poland,Chce Znac Swój Grzech,Kasia Kowalska,Final,1996,31.0,20,15,Oslo ,Greece,Croatia,Iceland,Norway,Slovakia,Malta,Netherlands,Austria,Estonia,Ireland
Portugal,O Meu Coração Não Tem Cor,Lúcia Moniz,Final,1996,92.0,4,6,Oslo ,France,Norway,Cyprus,Sweden,Austria,Iceland,Netherlands,Ireland,Croatia,United Kingdom
Slovakia,Kým Nás Máš,Marcel Palonder,Final,1996,19.0,22,18,Oslo ,Iceland,Poland,Austria,Sweden,Croatia,United Kingdom,Ireland,Greece,Cyprus,Malta
Slovenia,Dan najlepših sanj,Regina,Final,1996,16.0,14,21,Oslo ,Austria,Switzerland,Croatia,Malta,Netherlands,Iceland,Sweden,Estonia,Norway,Ireland
Spain,"¡Ay, Qué Deseo!",Antonio Carbonell,Final,1996,17.0,3,20,Oslo ,Slovenia,Slovakia,Iceland,Estonia,Croatia,Netherlands,Cyprus,Turkey,Malta,Belgium
Sweden,Den Vilda,One More Time,Final,1996,100.0,23,3,Oslo ,Croatia,Cyprus,Greece,Portugal,Malta,United Kingdom,Ireland,Netherlands,Norway,Estonia
Switzerland,Mon Coeur L'aime,Cathy Leander,Final,1996,22.0,9,16,Oslo ,Croatia,Greece,Netherlands,United Kingdom,Cyprus,Turkey,Norway,Sweden,Portugal,Ireland
Turkey,Besinçi Mevsim,Şebnem Paker,Final,1996,57.0,1,12,Oslo ,Netherlands,Norway,United Kingdom,Austria,Portugal,Bosnia & Herzegovina,Poland,Croatia,Malta,Ireland
United Kingdom,Ooh...Aah...Just A Little Bit,Gina G,Final,1996,77.0,2,8,Oslo ,France,Portugal,Switzerland,Croatia,Belgium,Turkey,Greece,Norway,Estonia,Cyprus
Austria,One Step,Bettina Soriat,Final,1997,12.0,4,21,Dublin ,Italy,Iceland,Germany,Bosnia & Herzegovina,Russia,Estonia,Turkey,Poland,Ireland,United Kingdom
Bosnia & Herzegovina,Goodbye,Alma Cardzic,Final,1997,22.0,14,18,Dublin ,Estonia,Croatia,France,Poland,Malta,Italy,Slovenia,Ireland,United Kingdom,Turkey
Croatia,Probudi Me,ENI,Final,1997,24.0,23,17,Dublin ,Bosnia & Herzegovina,Hungary,Slovenia,Cyprus,Germany,Ireland,Greece,Malta,Italy,United Kingdom
Cyprus,Mana Mou,Chara and Andreas Konstantinou,Final,1997,98.0,1,5,Dublin ,Estonia,Slovenia,France,Croatia,Malta,Italy,United Kingdom,Ireland,Spain,Greece
Denmark,Stemmen I Mit Liv,Kølig Kaj,Final,1997,25.0,21,16,Dublin ,France,Spain,Malta,Italy,Poland,Sweden,Cyprus,Estonia,Ireland,United Kingdom
Estonia,Keelatud Maa,Maarja-Liis Ilus,Final,1997,82.0,13,8,Dublin ,Cyprus,Iceland,Poland,Slovenia,Hungary,Turkey,Russia,Ireland,United Kingdom,France
France,Sentiments Songes,Fanny,Final,1997,95.0,22,7,Dublin ,Malta,Spain,Poland,Cyprus,Hungary,Turkey,Slovenia,Estonia,Ireland,United Kingdom
Germany,Zeit,Bianca Shomburg,Final,1997,22.0,11,18,Dublin ,Croatia,Spain,Bosnia & Herzegovina,Italy,Cyprus,Poland,Estonia,Ireland,United Kingdom,Turkey
Greece,Horepse,Marianna Zorba,Final,1997,39.0,17,12,Dublin ,Poland,Denmark,Slovenia,France,Italy,Spain,Turkey,Malta,United Kingdom,Cyprus
Hungary,"Miert Kell, Hogy Elmenj?",VIP,Final,1997,39.0,19,12,Dublin ,Germany,France,Italy,Estonia,Austria,Turkey,Poland,Ireland,Spain,United Kingdom
Iceland,Minn Hinsti Dans,Paul Oscar,Final,1997,18.0,25,20,Dublin ,Italy,Estonia,Slovenia,Sweden,Hungary,Denmark,Turkey,United Kingdom,France,Cyprus
Ireland,Mysterious Woman,Marc Roberts,Final,1997,157.0,5,2,Dublin ,Italy,Turkey,Cyprus,Hungary,Sweden,Spain,Malta,Estonia,France,United Kingdom
Italy,Fiumi Di Parole,Jalisse,Final,1997,114.0,9,4,Dublin ,Poland,Switzerland,Spain,Cyprus,Germany,Malta,Turkey,United Kingdom,Ireland,Estonia
Malta,Let Me Fly,Debbie Scerri,Final,1997,66.0,18,9,Dublin ,United Kingdom,Hungary,Germany,Netherlands,Slovenia,Greece,Cyprus,Croatia,Turkey,Spain
Netherlands,Niemand Heeft Nog Tijd,Mrs. Einstein,Final,1997,5.0,8,22,Dublin ,Poland,Turkey,Austria,Ireland,France,Spain,Italy,Russia,Cyprus,United Kingdom
Norway,San Francisco,Tor Endresen,Final,1997,0.0,3,24,Dublin ,Russia,Cyprus,Ireland,Poland,Greece,United Kingdom,Denmark,Sweden,Malta,France
Poland,Ale Jestem,Anna Maria Jopek,Final,1997,54.0,12,11,Dublin ,Austria,Slovenia,Croatia,Spain,Hungary,Estonia,Ireland,Italy,United Kingdom,France
Portugal,Antes Do Adeus,Célia Lawson,Final,1997,0.0,15,24,Dublin ,Estonia,Poland,Cyprus,Slovenia,Turkey,France,United Kingdom,Spain,Ireland,Italy
Russia,Primadonna,Alla Pugachova,Final,1997,33.0,20,15,Dublin ,Cyprus,Greece,Austria,Turkey,Ireland,France,Italy,Spain,Slovenia,United Kingdom
Slovenia,Zbudi Se,Tanja Ribič,Final,1997,60.0,6,10,Dublin ,Ireland,France,Estonia,Cyprus,Spain,Sweden,Poland,United Kingdom,Italy,Russia
Spain,Sin Rencor,Marcos Llunas,Final,1997,96.0,10,6,Dublin ,Malta,Poland,Switzerland,Estonia,United Kingdom,Ireland,Greece,Italy,Cyprus,Turkey
Sweden,Bara Hon älskar Mig,Blond,Final,1997,36.0,16,14,Dublin ,Estonia,France,Italy,Bosnia & Herzegovina,Croatia,Turkey,Denmark,Iceland,Ireland,United Kingdom
Switzerland,Dentro Di Me,Barbara Berta,Final,1997,5.0,7,22,Dublin ,Denmark,Bosnia & Herzegovina,France,Cyprus,Germany,Turkey,Ireland,Spain,Italy,United Kingdom
Turkey,Dinle,Sebnem Paker & Etnic,Final,1997,121.0,2,3,Dublin ,Netherlands,France,Hungary,Spain,Italy,Ireland,United Kingdom,Bosnia & Herzegovina,Slovenia,Malta
United Kingdom,Love Shine A Light,Katrina and The Waves,Final,1997,227.0,24,1,Dublin ,Croatia,Denmark,Italy,Turkey,Cyprus,Iceland,Sweden,Hungary,Estonia,Ireland
Belgium,Dis Oui,Mélanie Cohl,Final,1998,122.0,20,6,Birmingham ,Portugal,Cyprus,Spain,Norway,Croatia,United Kingdom,Germany,Malta,Israel,Netherlands
Croatia,Neka Mi Ne Svane,Danijela,Final,1998,131.0,1,5,Birmingham ,Spain,Ireland,Slovenia,Cyprus,Turkey,North Macedonia,Malta,Slovakia,Netherlands,United Kingdom
Cyprus,Genesis,Michael Hajiyanni,Final,1998,37.0,17,11,Birmingham ,France,Portugal,Norway,Spain,Malta,Belgium,Croatia,United Kingdom,Israel,Greece
Estonia,Mere Lapsed,Koit Toome,Final,1998,36.0,23,12,Birmingham ,Germany,Ireland,Croatia,Norway,Malta,Belgium,Israel,United Kingdom,Finland,Sweden
Finland,Aava,Edea,Final,1998,22.0,21,15,Birmingham ,Germany,Norway,Croatia,Slovenia,Malta,Sweden,Netherlands,United Kingdom,Israel,Estonia
France,Où Aller,Marie-Line,Final,1998,3.0,3,24,Birmingham ,Hungary,Poland,United Kingdom,Spain,Netherlands,Malta,Belgium,Croatia,Portugal,Israel
Germany,Guildo Hat Euch Lieb,Guildo Horn,Final,1998,86.0,9,7,Birmingham ,United Kingdom,Ireland,Norway,Belgium,Poland,Netherlands,Israel,Malta,Croatia,Turkey
Greece,Mia Krifi Evaisthissia,Dionysia & Thalassa,Final,1998,12.0,2,20,Birmingham ,Portugal,Slovenia,Germany,Belgium,Croatia,Malta,United Kingdom,Netherlands,Israel,Cyprus
Hungary,A Holnap Már Ném Lesz Szomorú,Charlie,Final,1998,4.0,11,23,Birmingham ,Cyprus,Poland,Belgium,Estonia,Norway,Ireland,Malta,Sweden,United Kingdom,Netherlands
Ireland,Is Always Over Now?,Dawn,Final,1998,64.0,13,9,Birmingham ,Estonia,Sweden,Croatia,Norway,United Kingdom,Israel,Belgium,Germany,Netherlands,Malta
Israel,Diva,Dana International,Final,1998,172.0,8,1,Birmingham ,Cyprus,Portugal,Spain,Norway,Belgium,Romania,Malta,Netherlands,Croatia,United Kingdom
Malta,The One That I Love,Chiara,Final,1998,165.0,10,3,Birmingham ,Cyprus,Portugal,Belgium,Sweden,Norway,Ireland,Netherlands,United Kingdom,Croatia,Israel
Netherlands,Hemel En Aarde,Edsilia Rombley,Final,1998,150.0,18,4,Birmingham ,Turkey,Estonia,Norway,Croatia,Sweden,Israel,United Kingdom,Malta,Belgium,Germany
North Macedonia,"Ne Zori, Zoro",Vlado Janevski,Final,1998,16.0,25,19,Birmingham ,Finland,France,Netherlands,Portugal,Turkey,Belgium,Ireland,Israel,United Kingdom,Croatia
Norway,Alltid Sommer,Lars A. Fredriksen,Final,1998,79.0,22,8,Birmingham ,Finland,Hungary,Israel,Ireland,United Kingdom,Croatia,Belgium,Netherlands,Sweden,Malta
Poland,To Takie Proste,Sixteen,Final,1998,19.0,7,17,Birmingham ,Estonia,Ireland,Sweden,Norway,Netherlands,Croatia,United Kingdom,Malta,Israel,Belgium
Portugal,Se Eu Te Pudesse Abraçar,Alma Lusa,Final,1998,36.0,14,12,Birmingham ,Ireland,Croatia,Norway,Cyprus,Malta,United Kingdom,Netherlands,Belgium,Germany,Israel
Romania,Eu Cred,Malina Olinescu,Final,1998,6.0,15,22,Birmingham ,Hungary,Turkey,North Macedonia,Cyprus,Slovenia,Germany,Israel,Ireland,Poland,United Kingdom
Slovakia,Modlitba,Katarína Hasprová,Final,1998,8.0,6,21,Birmingham ,United Kingdom,Portugal,North Macedonia,Ireland,Cyprus,Netherlands,Belgium,Estonia,Croatia,Malta
Slovenia,Naj Bogovi Slišijo,Vili Resnik,Final,1998,17.0,12,18,Birmingham ,Ireland,Estonia,Malta,North Macedonia,United Kingdom,Belgium,Israel,Germany,Norway,Croatia
Spain,¿Qué Voy A Hacer Sin Ti?,Mikel Herzog,Final,1998,21.0,4,16,Birmingham ,Croatia,Estonia,United Kingdom,Netherlands,Malta,Portugal,Belgium,Norway,Israel,Germany
Sweden,Kärleken är,Jill Johnson,Final,1998,53.0,19,10,Birmingham ,Ireland,Belgium,Croatia,Estonia,Israel,Malta,United Kingdom,Netherlands,Finland,Norway
Switzerland,Lass Ihn,Gunvor,Final,1998,0.0,5,25,Birmingham ,Norway,Ireland,United Kingdom,Belgium,Croatia,Spain,Netherlands,Malta,Israel,Germany
Turkey,Unutamazsin,Tüzmen,Final,1998,25.0,24,14,Birmingham ,Belgium,Sweden,Slovenia,Croatia,Israel,Portugal,Netherlands,Ireland,Malta,United Kingdom
United Kingdom,Where Are You?,Imaani,Final,1998,166.0,16,2,Birmingham ,Sweden,Croatia,Cyprus,Norway,Israel,Germany,Belgium,Ireland,Netherlands,Malta
Austria,Reflection,Bobbie Singer,Final,1999,65.0,18,10,Jerusalem ,Israel,Iceland,Estonia,Netherlands,Denmark,Sweden,Malta,Croatia,Germany,Bosnia & Herzegovina
Belgium,Like The Wind,Venessa Chinitor,Final,1999,38.0,2,12,Jerusalem ,Bosnia & Herzegovina,Slovenia,Israel,Estonia,Croatia,Austria,Sweden,Iceland,Germany,Netherlands
Bosnia & Herzegovina,Putnici,Dino & Beatrice,Final,1999,86.0,22,7,Jerusalem ,United Kingdom,Israel,Estonia,Netherlands,Slovenia,Poland,Malta,Croatia,Germany,Sweden
Croatia,Marija Magdalena,Doris Dragović,Final,1999,118.0,4,4,Jerusalem ,Spain,Lithuania,Germany,Belgium,United Kingdom,Malta,Norway,Israel,Bosnia & Herzegovina,Slovenia
Cyprus,Tha'nai Erotas,Marlain Angelidou,Final,1999,2.0,14,22,Jerusalem ,Austria,Croatia,Malta,United Kingdom,Lithuania,Sweden,Norway,Denmark,Israel,Iceland
Denmark,This Time (I Mean It),Trine Jepsen & Michael Teschl,Final,1999,71.0,9,8,Jerusalem ,United Kingdom,Israel,Austria,Estonia,Germany,Norway,Netherlands,Bosnia & Herzegovina,Sweden,Iceland
Estonia,Diamond Of Night,Evelin Samuel & Camille,Final,1999,90.0,23,6,Jerusalem ,Malta,Lithuania,Croatia,Israel,Belgium,Denmark,Germany,Austria,Iceland,Sweden
France,Je Veux Donner Ma Voix,Nayah,Final,1999,14.0,10,19,Jerusalem ,Slovenia,Belgium,Sweden,Estonia,Turkey,Bosnia & Herzegovina,Croatia,Germany,Israel,Portugal
Germany,Reise Nach Jerusalem - Kudüs'e Seyahat,Sürpriz,Final,1999,140.0,21,3,Jerusalem ,Malta,Sweden,Iceland,Poland,Austria,Estonia,Israel,Bosnia & Herzegovina,Croatia,Turkey
Iceland,All Out Of Luck,Selma Björnsdóttir,Final,1999,146.0,13,2,Jerusalem ,Israel,Estonia,Bosnia & Herzegovina,Croatia,Germany,Netherlands,Norway,Austria,Sweden,Denmark
Ireland,When You Need Me,The Mullan's,Final,1999,18.0,17,17,Jerusalem ,Netherlands,France,Norway,Iceland,Sweden,Croatia,Denmark,Estonia,Belgium,Slovenia
Israel,Yom Huledeth,Eden,Final,1999,93.0,19,5,Jerusalem ,Estonia,Denmark,Lithuania,United Kingdom,Belgium,Netherlands,Croatia,Sweden,Iceland,Germany
Lithuania,Strazdas,Aiste Smilgeviciute,Final,1999,13.0,1,20,Jerusalem ,Estonia,France,Sweden,Netherlands,United Kingdom,Croatia,Poland,Iceland,Slovenia,Ireland
Malta,Believe 'n Peace,Times 3,Final,1999,32.0,20,15,Jerusalem ,Lithuania,Netherlands,Germany,Denmark,Croatia,Israel,Estonia,United Kingdom,Iceland,Sweden
Netherlands,One Good Reason,Marlayne,Final,1999,71.0,11,8,Jerusalem ,Croatia,Austria,Bosnia & Herzegovina,Israel,Estonia,Slovenia,Iceland,Sweden,Belgium,Germany
Norway,Living My Life Without You,Stig André Van Eijk,Final,1999,35.0,8,14,Jerusalem ,Ireland,Israel,Germany,Turkey,Estonia,Austria,Bosnia & Herzegovina,France,Iceland,Sweden
Poland,Przytul Mnie Mocno,Mietek Szczesniak,Final,1999,17.0,12,18,Jerusalem ,Denmark,Belgium,Austria,Iceland,Bosnia & Herzegovina,Sweden,Croatia,Estonia,Israel,Germany
Portugal,Como Tudo Começou,Rui Bandeira,Final,1999,12.0,16,21,Jerusalem ,Malta,Netherlands,Denmark,Iceland,Austria,Croatia,Estonia,Israel,Sweden,Germany
Slovenia,For A Thousand Years,Darja Svajger,Final,1999,50.0,6,11,Jerusalem ,Israel,United Kingdom,Netherlands,Austria,Denmark,Germany,Sweden,Estonia,Bosnia & Herzegovina,Croatia
Spain,No Quiero Escuchar,Lydia,Final,1999,1.0,3,23,Jerusalem ,Estonia,Slovenia,Netherlands,United Kingdom,Denmark,Sweden,Germany,Israel,Iceland,Croatia
Sweden,Take Me To Your Heaven,Charlotte Nilsson,Final,1999,163.0,15,1,Jerusalem ,Croatia,Germany,Israel,Netherlands,Norway,Bosnia & Herzegovina,Austria,Denmark,Estonia,Iceland
Turkey,Dön Artik,Tuba Önal & Mystik,Final,1999,21.0,7,16,Jerusalem ,Ireland,France,Israel,United Kingdom,Netherlands,Sweden,Bosnia & Herzegovina,Croatia,Iceland,Germany
United Kingdom,Say It Again,Precious,Final,1999,38.0,5,12,Jerusalem ,Germany,Cyprus,Estonia,Ireland,Denmark,Malta,Austria,Netherlands,Iceland,Sweden
Austria,All To You,The rounder girls,Final,2000,34.0,24,14,Stockholm ,Switzerland,Malta,Estonia,Ireland,Turkey,Croatia,Russia,Latvia,Denmark,Germany
Belgium,Envie De Vivre,Nathalie Sorce,Final,2000,2.0,10,24,Stockholm ,Malta,Estonia,Turkey,Ireland,Sweden,Germany,Russia,Netherlands,Denmark,Latvia
Croatia,Kada Zaspu Andeli,Goran Karan,Final,2000,70.0,17,9,Stockholm ,Germany,Netherlands,Cyprus,United Kingdom,Ireland,Estonia,Romania,Malta,North Macedonia,Russia
Cyprus,Nomiza,Voice,Final,2000,8.0,11,21,Stockholm ,Latvia,North Macedonia,United Kingdom,Denmark,Netherlands,Estonia,Ireland,Malta,Spain,Russia
Denmark,Fly On The Wings Of Love,Olsen Brothers,Final,2000,195.0,14,1,Stockholm ,Turkey,Germany,Malta,Estonia,Ireland,Russia,Norway,Latvia,Sweden,Iceland
Estonia,Once In A Lifetime,Ines,Final,2000,98.0,4,4,Stockholm ,Malta,United Kingdom,Norway,Ireland,Sweden,Iceland,Finland,Denmark,Russia,Latvia
Finland,A Little Bit,Nina Åström,Final,2000,18.0,20,18,Stockholm ,Ireland,Germany,Austria,Turkey,Russia,Croatia,Sweden,Estonia,Denmark,Latvia
France,On Aura Le Ciel,Sofia Mestari,Final,2000,5.0,5,23,Stockholm ,Sweden,Netherlands,Latvia,Ireland,Russia,Israel,Denmark,Croatia,Germany,Turkey
Germany,Wadde Hadde Dudde Da,Stefan Raab,Final,2000,96.0,15,5,Stockholm ,Netherlands,Austria,Malta,Russia,Estonia,Croatia,Latvia,Sweden,Turkey,Denmark
Iceland,Tell Me!,August & Telma,Final,2000,45.0,12,12,Stockholm ,Netherlands,Ireland,Austria,Sweden,Estonia,Germany,Norway,Russia,Latvia,Denmark
Ireland,Millennium Of Love,Eamonn Toal,Final,2000,92.0,23,6,Stockholm ,Netherlands,Austria,Malta,Norway,Germany,Sweden,Estonia,Latvia,Russia,Denmark
Israel,Sa'me'akh,Ping Pong,Final,2000,7.0,1,22,Stockholm ,United Kingdom,Ireland,Malta,Latvia,Iceland,Estonia,Norway,Netherlands,Russia,Denmark
Latvia,My Star,BrainStorm,Final,2000,136.0,21,3,Stockholm ,Ireland,Switzerland,United Kingdom,Malta,Austria,Norway,Iceland,Germany,Estonia,Denmark
Malta,Desire,Claudette Pace,Final,2000,73.0,7,8,Stockholm ,Cyprus,Austria,Norway,Sweden,Netherlands,United Kingdom,Estonia,Denmark,Ireland,Russia
Netherlands,No Goodbyes,Linda Wagenmakers,Final,2000,40.0,2,13,Stockholm ,Malta,France,Ireland,Latvia,Finland,Switzerland,Estonia,Germany,Denmark,Turkey
North Macedonia,100% Te Ljubam,XXL,Final,2000,29.0,19,15,Stockholm ,Israel,Belgium,Latvia,Cyprus,Turkey,Sweden,Russia,Malta,Croatia,Romania
Norway,My Heart Goes Boom,Charmed,Final,2000,57.0,8,11,Stockholm ,Turkey,Malta,Germany,Estonia,Sweden,Ireland,Iceland,Russia,Denmark,Latvia
Romania,The Moon,Taxi,Final,2000,25.0,6,17,Stockholm ,Denmark,Ireland,United Kingdom,Finland,Spain,Estonia,Malta,Croatia,North Macedonia,Russia
Russia,Solo,Alsou,Final,2000,155.0,9,2,Stockholm ,Latvia,Spain,France,Germany,Switzerland,Romania,North Macedonia,Malta,Croatia,Denmark
Spain,Colgado De Un Sueño,Serafín Zubiri,Final,2000,18.0,13,18,Stockholm ,Malta,Croatia,Ireland,Netherlands,Russia,Sweden,Latvia,Austria,Denmark,Germany
Sweden,When Spirits Are Calling My Name,Roger Pontare,Final,2000,88.0,18,7,Stockholm ,Turkey,Finland,Malta,Ireland,Russia,Estonia,Norway,Iceland,Latvia,Denmark
Switzerland,La Vita Cos'è?,Jane Bogaert,Final,2000,14.0,16,20,Stockholm ,Spain,Russia,Sweden,Austria,Turkey,Croatia,Latvia,Ireland,Denmark,Germany
Turkey,Yorgunum Anla,Pinar Ayhan & S.O.S. band,Final,2000,59.0,22,10,Stockholm ,Denmark,Estonia,Netherlands,Austria,Malta,United Kingdom,Ireland,Croatia,Norway,Sweden
United Kingdom,Don't Play That Song Again,Nicki French,Final,2000,28.0,3,16,Stockholm ,Austria,Malta,Norway,Estonia,Germany,Sweden,Latvia,Russia,Ireland,Denmark
Bosnia & Herzegovina,Hano,Nino,Final,2001,29.0,3,14,Copenhagen ,Malta,Lithuania,Sweden,Estonia,Spain,Israel,Croatia,Greece,Slovenia,France
Croatia,Strings Of My Heart,Vanna,Final,2001,42.0,10,10,Copenhagen ,Germany,Estonia,United Kingdom,Sweden,Greece,France,Turkey,Slovenia,Bosnia & Herzegovina,Denmark
Denmark,Never Ever Let You Go,Rollo & King,Final,2001,177.0,23,2,Copenhagen ,Poland,Iceland,Turkey,Germany,Greece,France,Bosnia & Herzegovina,Estonia,Sweden,Malta
Estonia,Everybody,"Tanel Padar, Dave Benton & 2XL",Final,2001,198.0,20,1,Copenhagen ,Germany,Malta,Spain,Russia,Slovenia,Greece,Sweden,Latvia,France,Denmark
France,Je N'ai Que Mon âme,Natasha Saint-Pier,Final,2001,142.0,14,4,Copenhagen ,Slovenia,Sweden,Greece,Denmark,Spain,Germany,Turkey,Estonia,Israel,Portugal
Germany,Wer Liebe Lebt,Michelle,Final,2001,66.0,19,8,Copenhagen ,Malta,United Kingdom,Croatia,Slovenia,Poland,France,Turkey,Greece,Estonia,Denmark
Greece,Die For You,Antique,Final,2001,147.0,22,3,Copenhagen ,Germany,Israel,Malta,France,Russia,Denmark,Croatia,Spain,Turkey,Estonia
Iceland,Angel,TwoTricky,Final,2001,3.0,2,22,Copenhagen ,Lithuania,Spain,Malta,France,Russia,Slovenia,Sweden,Greece,Estonia,Denmark
Ireland,Without Your Love,Gary O'Shaughnessy,Final,2001,6.0,12,21,Copenhagen ,Lithuania,Slovenia,Spain,United Kingdom,Greece,Germany,France,Sweden,Estonia,Denmark
Israel,Ein Davar,Tal Sondak,Final,2001,25.0,5,16,Copenhagen ,Slovenia,France,Russia,Lithuania,Netherlands,Estonia,Denmark,Sweden,Greece,Spain
Latvia,Too Much,Arnis Mednis,Final,2001,16.0,9,18,Copenhagen ,Germany,Greece,United Kingdom,Spain,Lithuania,Sweden,France,Russia,Denmark,Estonia
Lithuania,You Got Style,Skamp,Final,2001,35.0,8,13,Copenhagen ,Malta,Sweden,United Kingdom,Slovenia,Greece,Denmark,France,Latvia,Russia,Estonia
Malta,Another Summer Night,Fabrizio Faniello,Final,2001,48.0,21,9,Copenhagen ,Bosnia & Herzegovina,Russia,United Kingdom,Turkey,Germany,Denmark,Greece,Sweden,Croatia,Estonia
Netherlands,Out On My Own,Michelle,Final,2001,16.0,1,18,Copenhagen ,Germany,United Kingdom,Turkey,Slovenia,Lithuania,Greece,Spain,France,Denmark,Estonia
Norway,On My Own,Haldor Lægreid,Final,2001,3.0,4,22,Copenhagen ,Iceland,Sweden,Germany,Spain,Malta,Slovenia,France,Greece,Estonia,Denmark
Poland,2 Long,Piasek,Final,2001,11.0,18,20,Copenhagen ,Spain,United Kingdom,Malta,Germany,Sweden,Slovenia,Denmark,Greece,France,Estonia
Portugal,Só Sei Ser Feliz Assim,MTM,Final,2001,18.0,11,17,Copenhagen ,Ireland,United Kingdom,Norway,Greece,Sweden,Netherlands,Spain,Denmark,Germany,France
Russia,Lady Alpine Blue,Mumiy troll,Final,2001,37.0,6,12,Copenhagen ,Netherlands,Sweden,United Kingdom,Slovenia,Greece,Estonia,Malta,Germany,Lithuania,France
Slovenia,Energy,Nuša Derenda,Final,2001,70.0,17,7,Copenhagen ,Spain,Lithuania,Poland,Netherlands,Croatia,France,Bosnia & Herzegovina,Greece,Denmark,Estonia
Spain,Dile Que La Quiero,David Civera,Final,2001,76.0,13,6,Copenhagen ,United Kingdom,Slovenia,France,Malta,Sweden,Portugal,Denmark,Estonia,Germany,Greece
Sweden,Listen To Your Heartbeat,Friends,Final,2001,100.0,7,5,Copenhagen ,Lithuania,Poland,Malta,Bosnia & Herzegovina,Spain,France,Slovenia,Estonia,Denmark,Greece
Turkey,Sevgiliye Son,Sedat Yüce,Final,2001,41.0,15,11,Copenhagen ,France,Malta,Germany,Denmark,Greece,Spain,Israel,Sweden,Croatia,Estonia
United Kingdom,No Dream Impossible,Lindsay D.,Final,2001,28.0,16,15,Copenhagen ,Malta,Germany,Spain,Lithuania,Ireland,France,Greece,Sweden,Denmark,Estonia
Austria,Say A Word,Manuel Ortega,Final,2002,26.0,3,18,Tallinn ,Germany,Slovenia,Estonia,Sweden,Switzerland,Croatia,Bosnia & Herzegovina,Malta,Latvia,United Kingdom
Belgium,Sister,Sergio & the Ladies,Final,2002,33.0,16,13,Tallinn ,Sweden,Israel,Cyprus,Estonia,Austria,United Kingdom,Malta,Latvia,France,Spain
Bosnia & Herzegovina,Na Jastuku Za Dvoje,Maja,Final,2002,33.0,15,13,Tallinn ,Slovenia,Croatia,Finland,Malta,Latvia,Spain,United Kingdom,France,Estonia,Sweden
Croatia,Everything I Want,Vesna Pisarovic,Final,2002,44.0,6,11,Tallinn ,Greece,Latvia,Turkey,North Macedonia,Estonia,Spain,Bosnia & Herzegovina,Slovenia,Cyprus,Malta
Cyprus,Gimme,One,Final,2002,85.0,1,6,Tallinn ,Austria,Finland,North Macedonia,Latvia,Russia,Croatia,Spain,Romania,Malta,Greece
Denmark,Tell Me Who You Are,Malene,Final,2002,7.0,14,24,Tallinn ,Israel,Bosnia & Herzegovina,Finland,Belgium,France,United Kingdom,Latvia,Estonia,Sweden,Malta
Estonia,Runaway,Sahléne,Final,2002,111.0,8,3,Tallinn ,Germany,Lithuania,France,Cyprus,Finland,United Kingdom,Malta,Sweden,Russia,Latvia
Finland,Addicted To You,Laura,Final,2002,24.0,13,20,Tallinn ,North Macedonia,Malta,Russia,Cyprus,Israel,Latvia,Sweden,United Kingdom,Estonia,France
France,Il Faut Du Temps,Sandrine François,Final,2002,104.0,17,5,Tallinn ,United Kingdom,Belgium,Switzerland,Romania,Slovenia,Malta,Turkey,Latvia,Israel,Spain
Germany,I Can't Live Without Music,Corinna May,Final,2002,17.0,18,21,Tallinn ,Romania,Switzerland,Croatia,Estonia,Israel,France,Spain,United Kingdom,Malta,Latvia
Greece,S.A.G.A.P.O.,Michalis Rakintzis,Final,2002,27.0,4,17,Tallinn ,Sweden,Russia,France,Spain,Croatia,Malta,United Kingdom,Romania,Latvia,Cyprus
Israel,Light A Candle,Sarit Hadad,Final,2002,37.0,10,12,Tallinn ,Russia,Estonia,Sweden,Denmark,United Kingdom,Spain,France,Romania,Malta,Latvia
Latvia,I Wanna,Marie N,Final,2002,176.0,23,1,Tallinn ,Switzerland,France,Israel,Sweden,United Kingdom,Lithuania,Malta,Cyprus,Russia,Estonia
Lithuania,Happy You,Aivaras,Final,2002,12.0,24,23,Tallinn ,Denmark,Belgium,Malta,Cyprus,France,Russia,Estonia,United Kingdom,Sweden,Latvia
Malta,7th Wonder,Ira Losco,Final,2002,164.0,20,2,Tallinn ,Denmark,Estonia,Bosnia & Herzegovina,Germany,North Macedonia,Romania,Latvia,Russia,United Kingdom,Cyprus
